gate_count,wire_count,and_count,or_count,not_count,input_count,output_count,complexity_flag,score
4,7,1,1,2,4,1,1,40
5,10,0,4,1,3,1,1,89
5,10,2,2,1,2,1,1,88
3,5,1,0,2,3,1,1,40
4,9,0,4,0,4,1,1,91
5,7,0,1,4,3,1,1,40
5,9,2,1,2,4,1,1,83
4,7,0,2,2,4,1,1,40
4,8,2,1,1,2,1,1,79
4,8,0,3,1,3,1,1,93
4,8,3,0,1,2,1,1,92
6,10,2,1,3,4,1,1,99
4,9,3,1,0,4,1,1,81
3,7,1,2,0,4,1,1,70
4,9,1,3,0,4,1,1,93
2,4,0,1,1,2,1,1,82
6,10,1,2,3,3,1,1,73
6,12,3,2,1,2,1,1,87
2,4,1,0,1,2,1,1,81
6,10,1,2,3,4,1,1,94
5,10,1,3,1,2,1,1,74
4,7,1,1,2,4,1,1,40
6,11,1,3,2,3,1,1,77
3,7,3,0,0,3,1,1,81
2,3,0,0,2,2,1,1,40
5,10,2,2,1,3,1,1,86
4,7,0,2,2,2,1,1,80
6,10,1,2,3,3,1,1,83
2,5,2,0,0,4,1,1,40
4,8,1,2,1,2,1,1,93
3,7,1,2,0,4,1,1,78
4,7,0,2,2,3,1,1,100
5,10,3,1,1,3,1,1,74
5,9,1,2,2,3,1,1,74
2,4,1,0,1,2,1,1,77
2,5,2,0,0,4,1,1,40
6,12,4,1,1,2,1,1,97
3,5,0,1,2,2,1,1,99
5,9,3,0,2,2,1,1,70
4,5,0,0,4,2,1,1,40
6,11,2,2,2,2,1,1,87
2,4,1,0,1,3,1,1,40
6,10,1,2,3,2,1,1,100
2,5,1,1,0,4,1,1,40
4,8,1,2,1,4,1,1,83
2,5,1,1,0,4,1,1,40
2,5,2,0,0,3,1,1,76
5,9,1,2,2,2,1,1,81
4,7,0,2,2,2,1,1,90
4,7,1,1,2,3,1,1,96
6,11,2,2,2,2,1,1,96
4,6,0,1,3,4,1,1,40
4,8,2,1,1,4,1,1,76
2,5,2,0,0,2,1,1,90
6,12,2,3,1,2,1,1,93
6,10,2,1,3,3,1,1,100
2,4,1,0,1,3,1,1,40
4,6,1,0,3,2,1,1,91
5,8,0,2,3,3,1,1,86
5,9,1,2,2,2,1,1,75
6,12,2,3,1,4,1,1,90
4,8,1,2,1,2,1,1,70
4,7,1,1,2,2,1,1,83
4,9,4,0,0,2,1,1,77
2,3,0,0,2,3,1,1,40
4,7,0,2,2,4,1,1,40
6,9,0,2,4,4,1,1,40
4,5,0,0,4,4,1,1,40
4,7,1,1,2,4,1,1,40
2,5,0,2,0,4,1,1,40
2,4,0,1,1,4,1,1,40
3,7,0,3,0,3,1,1,72
4,9,2,2,0,2,1,1,74
4,8,2,1,1,4,1,1,73
6,11,3,1,2,2,1,1,81
4,8,0,3,1,2,1,1,75
6,9,2,0,4,4,1,1,40
3,6,1,1,1,3,1,1,77
5,8,1,1,3,4,1,1,40
5,11,2,3,0,4,1,1,98
3,7,0,3,0,2,1,1,81
6,9,1,1,4,2,1,1,81
3,5,1,0,2,4,1,1,40
6,12,3,2,1,2,1,1,81
6,12,4,1,1,2,1,1,99
5,8,1,1,3,2,1,1,85
5,9,1,2,2,2,1,1,87
4,7,0,2,2,3,1,1,93
5,10,3,1,1,3,1,1,94
5,9,3,0,2,2,1,1,93
2,4,1,0,1,2,1,1,75
5,10,1,3,1,2,1,1,72
4,7,0,2,2,3,1,1,95
4,8,1,2,1,4,1,1,86
2,5,0,2,0,3,1,1,78
6,11,3,1,2,4,1,1,95
6,8,1,0,5,3,1,1,40
2,4,0,1,1,4,1,1,40
2,4,1,0,1,4,1,1,40
5,10,3,1,1,2,1,1,95
3,7,2,1,0,4,1,1,100
2,3,0,0,2,3,1,1,40
6,10,1,2,3,4,1,1,92
6,12,2,3,1,3,1,1,93
4,7,1,1,2,4,1,1,40
5,8,1,1,3,4,1,1,40
2,4,0,1,1,2,1,1,95
4,8,1,2,1,4,1,1,78
5,10,2,2,1,4,1,1,91
6,12,4,1,1,4,1,1,79
2,4,1,0,1,4,1,1,40
2,4,1,0,1,2,1,1,78
5,10,3,1,1,3,1,1,92
4,6,1,0,3,4,1,1,40
2,5,1,1,0,2,1,1,77
3,6,1,1,1,3,1,1,89
2,5,1,1,0,4,1,1,40
4,8,1,2,1,3,1,1,90
2,4,0,1,1,3,1,1,40
6,12,3,2,1,2,1,1,82
4,8,2,1,1,4,1,1,85
3,7,1,2,0,3,1,1,90
2,4,1,0,1,4,1,1,40
3,6,2,0,1,2,1,1,85
4,8,1,2,1,4,1,1,87
2,4,1,0,1,4,1,1,40
3,6,1,1,1,4,1,1,40
4,9,3,1,0,4,1,1,87
5,10,2,2,1,2,1,1,80
4,8,3,0,1,4,1,1,100
6,9,1,1,4,2,1,1,79
4,8,2,1,1,2,1,1,78
2,5,1,1,0,2,1,1,98
4,8,1,2,1,4,1,1,88
3,5,0,1,2,2,1,1,85
3,6,2,0,1,2,1,1,78
2,5,2,0,0,4,1,1,40
2,3,0,0,2,2,1,1,40
6,11,4,0,2,3,1,1,85
5,10,3,1,1,2,1,1,81
6,12,2,3,1,3,1,1,82
5,10,3,1,1,4,1,1,89
3,6,1,1,1,2,1,1,82
3,7,1,2,0,3,1,1,78
3,6,1,1,1,3,1,1,71
5,9,2,1,2,4,1,1,83
5,8,0,2,3,2,1,1,98
2,4,0,1,1,3,1,1,40
5,6,0,0,5,2,1,1,40
6,12,1,4,1,3,1,1,89
6,11,3,1,2,4,1,1,94
6,10,1,2,3,4,1,1,89
6,10,2,1,3,3,1,1,95
4,9,1,3,0,2,1,1,70
5,8,0,2,3,4,1,1,40
2,3,0,0,2,2,1,1,40
3,6,1,1,1,3,1,1,90
2,3,0,0,2,2,1,1,40
6,13,4,2,0,3,1,1,100
3,5,1,0,2,2,1,1,88
5,9,2,1,2,3,1,1,82
2,5,2,0,0,3,1,1,90
4,7,2,0,2,3,1,1,76
3,6,0,2,1,2,1,1,87
5,9,2,1,2,4,1,1,70
5,9,3,0,2,2,1,1,89
6,12,2,3,1,2,1,1,86
3,6,1,1,1,2,1,1,84
2,3,0,0,2,2,1,1,40
4,7,1,1,2,3,1,1,97
4,8,1,2,1,3,1,1,76
6,11,3,1,2,2,1,1,100
6,11,3,1,2,4,1,1,71
3,6,0,2,1,2,1,1,74
6,10,1,2,3,4,1,1,89
3,7,0,3,0,4,1,1,78
4,7,1,1,2,3,1,1,79
5,10,1,3,1,3,1,1,93
3,5,1,0,2,4,1,1,40
3,5,1,0,2,3,1,1,40
6,12,2,3,1,4,1,1,85
2,4,0,1,1,4,1,1,40
3,6,1,1,1,2,1,1,100
3,6,0,2,1,3,1,1,79
5,9,1,2,2,4,1,1,97
4,9,1,3,0,3,1,1,83
6,9,1,1,4,4,1,1,40
3,5,1,0,2,2,1,1,70
6,11,3,1,2,3,1,1,95
4,9,1,3,0,3,1,1,80
2,4,1,0,1,3,1,1,40
3,6,0,2,1,3,1,1,78
4,8,2,1,1,3,1,1,76
4,6,1,0,3,4,1,1,40
5,8,2,0,3,3,1,1,92
6,11,2,2,2,2,1,1,95
5,9,0,3,2,3,1,1,94
4,8,2,1,1,2,1,1,79
4,8,2,1,1,3,1,1,87
4,8,0,3,1,3,1,1,95
4,7,2,0,2,2,1,1,82
2,5,0,2,0,4,1,1,40
6,10,2,1,3,3,1,1,77
6,11,3,1,2,3,1,1,86
2,5,1,1,0,2,1,1,73
3,5,0,1,2,4,1,1,40
5,11,1,4,0,3,1,1,91
5,11,1,4,0,4,1,1,84
5,10,2,2,1,4,1,1,82
5,9,2,1,2,3,1,1,82
3,6,0,2,1,3,1,1,74
2,3,0,0,2,3,1,1,40
6,12,2,3,1,4,1,1,87
3,6,1,1,1,3,1,1,77
4,9,3,1,0,4,1,1,71
5,11,3,2,0,4,1,1,92
6,10,1,2,3,4,1,1,82
4,6,0,1,3,2,1,1,78
6,12,2,3,1,2,1,1,74
3,4,0,0,3,2,1,1,40
5,11,3,2,0,3,1,1,83
4,7,1,1,2,2,1,1,88
3,7,2,1,0,3,1,1,70
2,5,1,1,0,4,1,1,40
3,5,1,0,2,3,1,1,40
2,4,0,1,1,4,1,1,40
3,6,1,1,1,4,1,1,40
5,9,1,2,2,4,1,1,99
5,11,2,3,0,3,1,1,88
6,11,1,3,2,3,1,1,71
4,8,2,1,1,2,1,1,97
6,12,4,1,1,4,1,1,97
3,7,0,3,0,4,1,1,71
3,7,1,2,0,4,1,1,86
4,7,0,2,2,2,1,1,84
6,10,1,2,3,4,1,1,91
5,9,2,1,2,3,1,1,81
3,6,0,2,1,2,1,1,80
5,9,2,1,2,4,1,1,77
3,5,1,0,2,4,1,1,40
3,6,2,0,1,4,1,1,40
4,7,1,1,2,3,1,1,97
5,10,2,2,1,3,1,1,70
4,8,1,2,1,4,1,1,84
2,5,1,1,0,4,1,1,40
6,13,2,4,0,4,1,1,79
2,4,1,0,1,4,1,1,40
6,11,1,3,2,4,1,1,75
6,10,2,1,3,2,1,1,95
6,11,1,3,2,2,1,1,72
2,3,0,0,2,3,1,1,40
3,6,0,2,1,3,1,1,73
2,5,0,2,0,4,1,1,40
3,6,0,2,1,4,1,1,40
3,5,0,1,2,2,1,1,83
3,7,1,2,0,3,1,1,82
6,11,1,3,2,3,1,1,99
5,8,2,0,3,3,1,1,79
3,5,0,1,2,4,1,1,40
6,10,1,2,3,2,1,1,80
6,10,1,2,3,3,1,1,77
2,5,1,1,0,4,1,1,40
3,7,1,2,0,4,1,1,91
3,6,0,2,1,2,1,1,80
6,9,2,0,4,3,1,1,79
4,9,1,3,0,3,1,1,85
6,13,3,3,0,3,1,1,77
5,9,2,1,2,3,1,1,81
6,10,2,1,3,2,1,1,73
5,10,1,3,1,3,1,1,98
2,5,1,1,0,3,1,1,87
3,7,1,2,0,3,1,1,80
5,9,3,0,2,4,1,1,73
3,6,1,1,1,2,1,1,82
3,6,1,1,1,4,1,1,40
4,9,1,3,0,4,1,1,71
2,3,0,0,2,3,1,1,40
6,12,2,3,1,3,1,1,100
6,10,2,1,3,3,1,1,89
3,7,3,0,0,3,1,1,98
5,8,2,0,3,2,1,1,77
6,12,3,2,1,2,1,1,90
2,5,1,1,0,3,1,1,100
5,9,2,1,2,2,1,1,71
3,6,2,0,1,4,1,1,40
4,8,3,0,1,3,1,1,86
6,12,3,2,1,2,1,1,70
2,5,1,1,0,3,1,1,99
2,5,2,0,0,2,1,1,89
3,4,0,0,3,3,1,1,40
4,9,2,2,0,4,1,1,79
4,8,1,2,1,2,1,1,79
3,5,0,1,2,3,1,1,40
2,5,1,1,0,3,1,1,89
2,5,1,1,0,3,1,1,94
2,5,1,1,0,3,1,1,90
5,8,1,1,3,3,1,1,80
4,8,3,0,1,4,1,1,81
5,10,0,4,1,3,1,1,75
5,8,0,2,3,3,1,1,85
5,9,0,3,2,3,1,1,76
5,10,4,0,1,4,1,1,91
3,6,0,2,1,3,1,1,74
4,8,0,3,1,4,1,1,76
5,11,2,3,0,2,1,1,98
4,8,1,2,1,3,1,1,90
6,12,3,2,1,4,1,1,82
5,9,2,1,2,4,1,1,83
6,11,2,2,2,2,1,1,97
2,4,1,0,1,2,1,1,86
5,9,3,0,2,2,1,1,72
4,6,1,0,3,3,1,1,40
2,3,0,0,2,2,1,1,40
3,5,0,1,2,2,1,1,91
5,10,2,2,1,4,1,1,88
4,6,1,0,3,4,1,1,40
5,8,1,1,3,2,1,1,70
3,5,1,0,2,4,1,1,40
2,4,0,1,1,3,1,1,40
6,11,0,4,2,4,1,1,80
5,10,2,2,1,2,1,1,88
2,5,0,2,0,2,1,1,93
5,8,1,1,3,2,1,1,90
4,9,2,2,0,2,1,1,80
5,7,1,0,4,3,1,1,40
4,7,1,1,2,2,1,1,75
5,9,3,0,2,2,1,1,87
2,4,0,1,1,4,1,1,40
5,11,4,1,0,4,1,1,93
3,6,1,1,1,2,1,1,77
4,8,1,2,1,4,1,1,78
5,7,1,0,4,4,1,1,40
5,9,1,2,2,4,1,1,89
4,8,0,3,1,3,1,1,71
6,13,4,2,0,2,1,1,92
6,12,3,2,1,4,1,1,99
2,3,0,0,2,3,1,1,40
2,4,0,1,1,2,1,1,89
6,11,3,1,2,4,1,1,100
2,5,1,1,0,3,1,1,99
3,4,0,0,3,3,1,1,40
4,9,3,1,0,3,1,1,88
6,10,3,0,3,2,1,1,82
6,10,0,3,3,3,1,1,81
3,7,2,1,0,2,1,1,84
4,8,3,0,1,2,1,1,89
2,4,1,0,1,4,1,1,40
4,8,2,1,1,2,1,1,95
3,4,0,0,3,4,1,1,40
5,9,2,1,2,3,1,1,81
5,9,1,2,2,3,1,1,80
3,5,1,0,2,4,1,1,40
6,8,0,1,5,2,1,1,75
5,10,2,2,1,4,1,1,97
4,6,0,1,3,3,1,1,40
5,9,1,2,2,3,1,1,92
3,6,2,0,1,3,1,1,71
2,3,0,0,2,4,1,1,40
4,7,1,1,2,2,1,1,77
4,8,2,1,1,2,1,1,71
5,9,3,0,2,4,1,1,86
5,9,1,2,2,4,1,1,97
5,10,4,0,1,4,1,1,74
4,8,2,1,1,3,1,1,75
6,12,4,1,1,2,1,1,78
6,11,1,3,2,3,1,1,70
3,6,1,1,1,2,1,1,79
4,8,1,2,1,3,1,1,78
4,8,2,1,1,4,1,1,76
4,8,2,1,1,3,1,1,79
6,12,3,2,1,4,1,1,96
4,8,2,1,1,4,1,1,77
6,9,1,1,4,4,1,1,40
5,8,1,1,3,4,1,1,40
6,10,1,2,3,2,1,1,93
4,8,1,2,1,3,1,1,88
4,9,1,3,0,4,1,1,98
3,7,2,1,0,4,1,1,89
6,11,3,1,2,4,1,1,83
6,12,1,4,1,2,1,1,72
5,9,2,1,2,2,1,1,100
2,4,1,0,1,2,1,1,90
3,6,2,0,1,3,1,1,70
4,6,1,0,3,4,1,1,40
4,9,1,3,0,4,1,1,75
4,8,3,0,1,4,1,1,73
2,5,0,2,0,3,1,1,92
4,7,1,1,2,4,1,1,40
5,9,2,1,2,2,1,1,76
6,10,1,2,3,3,1,1,98
5,10,2,2,1,2,1,1,81
5,11,4,1,0,2,1,1,82
4,9,1,3,0,4,1,1,87
5,9,3,0,2,2,1,1,100
4,8,2,1,1,3,1,1,84
2,3,0,0,2,3,1,1,40
3,7,2,1,0,2,1,1,99
6,13,4,2,0,3,1,1,85
6,11,0,4,2,2,1,1,92
3,6,1,1,1,3,1,1,76
2,5,0,2,0,2,1,1,71
5,8,1,1,3,3,1,1,76
6,11,1,3,2,3,1,1,96
6,10,3,0,3,3,1,1,89
6,12,1,4,1,3,1,1,71
3,6,1,1,1,3,1,1,78
5,9,2,1,2,4,1,1,85
6,13,4,2,0,2,1,1,87
4,9,1,3,0,2,1,1,75
2,5,1,1,0,3,1,1,98
5,11,2,3,0,4,1,1,98
6,12,2,3,1,4,1,1,90
3,7,1,2,0,4,1,1,84
5,10,3,1,1,3,1,1,74
2,4,1,0,1,4,1,1,40
6,13,4,2,0,3,1,1,81
3,6,2,0,1,2,1,1,80
2,4,0,1,1,3,1,1,40
4,8,2,1,1,2,1,1,86
5,8,2,0,3,3,1,1,85
5,9,0,3,2,2,1,1,89
6,9,1,1,4,2,1,1,77
3,5,0,1,2,3,1,1,40
6,11,2,2,2,4,1,1,92
6,12,1,4,1,2,1,1,73
6,11,2,2,2,4,1,1,80
5,10,4,0,1,2,1,1,77
5,10,2,2,1,4,1,1,80
6,11,1,3,2,3,1,1,91
2,4,0,1,1,4,1,1,40
2,5,1,1,0,4,1,1,40
4,8,1,2,1,3,1,1,84
4,7,1,1,2,3,1,1,89
3,6,1,1,1,3,1,1,91
2,4,1,0,1,3,1,1,40
4,6,0,1,3,4,1,1,40
3,6,1,1,1,4,1,1,40
5,8,1,1,3,4,1,1,40
5,8,0,2,3,4,1,1,40
4,8,3,0,1,3,1,1,88
3,5,0,1,2,4,1,1,40
6,11,2,2,2,3,1,1,70
6,12,2,3,1,2,1,1,85
4,7,1,1,2,2,1,1,83
3,5,0,1,2,2,1,1,73
3,6,2,0,1,4,1,1,40
6,11,4,0,2,4,1,1,71
4,8,3,0,1,2,1,1,86
6,11,2,2,2,2,1,1,75
6,10,0,3,3,3,1,1,76
5,10,1,3,1,2,1,1,94
4,8,0,3,1,4,1,1,100
3,7,0,3,0,4,1,1,81
2,4,0,1,1,3,1,1,40
6,12,3,2,1,3,1,1,77
6,13,3,3,0,2,1,1,82
3,6,1,1,1,2,1,1,83
2,5,2,0,0,2,1,1,83
2,4,1,0,1,2,1,1,94
6,9,0,2,4,4,1,1,40
5,10,3,1,1,2,1,1,85
5,11,3,2,0,3,1,1,95
6,10,2,1,3,2,1,1,82
4,6,0,1,3,2,1,1,76
2,4,1,0,1,4,1,1,40
6,11,3,1,2,2,1,1,100
5,8,0,2,3,3,1,1,86
6,9,1,1,4,4,1,1,40
2,4,0,1,1,2,1,1,93
6,11,2,2,2,4,1,1,81
4,7,1,1,2,3,1,1,70
3,6,0,2,1,3,1,1,79
4,7,1,1,2,4,1,1,40
4,9,3,1,0,2,1,1,89
2,3,0,0,2,2,1,1,40
3,7,1,2,0,3,1,1,80
4,8,2,1,1,4,1,1,73
4,9,2,2,0,3,1,1,88
6,10,2,1,3,3,1,1,76
6,9,1,1,4,4,1,1,40
3,6,2,0,1,3,1,1,91
4,6,0,1,3,3,1,1,40
6,9,2,0,4,3,1,1,100
3,5,0,1,2,4,1,1,40
2,4,1,0,1,2,1,1,85
2,4,1,0,1,3,1,1,40
5,10,2,2,1,2,1,1,96
6,9,0,2,4,2,1,1,91
6,8,0,1,5,3,1,1,40
6,9,1,1,4,2,1,1,86
4,7,1,1,2,2,1,1,92
4,7,0,2,2,4,1,1,40
5,8,1,1,3,3,1,1,88
3,7,2,1,0,4,1,1,81
6,10,1,2,3,3,1,1,88
3,6,0,2,1,3,1,1,71
6,11,2,2,2,4,1,1,82
3,6,1,1,1,3,1,1,86
3,6,1,1,1,4,1,1,40
2,4,1,0,1,4,1,1,40
3,7,3,0,0,3,1,1,81
3,7,0,3,0,2,1,1,87
2,3,0,0,2,2,1,1,40
2,5,1,1,0,3,1,1,75
3,7,1,2,0,4,1,1,86
2,5,1,1,0,4,1,1,40
2,4,1,0,1,3,1,1,40
5,10,1,3,1,4,1,1,75
5,10,2,2,1,4,1,1,78
6,9,1,1,4,2,1,1,71
2,5,1,1,0,3,1,1,80
6,13,3,3,0,4,1,1,72
4,8,2,1,1,3,1,1,74
5,9,2,1,2,2,1,1,96
2,4,1,0,1,3,1,1,40
5,9,2,1,2,4,1,1,74
6,9,0,2,4,3,1,1,99
4,7,1,1,2,3,1,1,82
6,10,1,2,3,4,1,1,72
3,5,0,1,2,3,1,1,40
6,11,3,1,2,4,1,1,95
3,5,0,1,2,3,1,1,40
6,12,3,2,1,2,1,1,94
6,10,2,1,3,3,1,1,80
4,8,0,3,1,4,1,1,70
6,11,2,2,2,2,1,1,72
3,6,2,0,1,4,1,1,40
5,9,3,0,2,4,1,1,88
5,8,1,1,3,4,1,1,40
2,5,1,1,0,2,1,1,81
4,8,2,1,1,3,1,1,72
6,13,5,1,0,3,1,1,99
4,9,2,2,0,2,1,1,71
6,11,2,2,2,3,1,1,78
4,8,2,1,1,4,1,1,79
4,9,1,3,0,3,1,1,92
4,8,1,2,1,4,1,1,97
2,4,0,1,1,3,1,1,40
2,4,1,0,1,4,1,1,40
4,9,2,2,0,2,1,1,84
5,8,0,2,3,4,1,1,40
5,11,2,3,0,2,1,1,83
5,10,2,2,1,4,1,1,72
5,11,2,3,0,3,1,1,70
3,5,0,1,2,3,1,1,40
5,10,2,2,1,3,1,1,100
2,5,1,1,0,4,1,1,40
4,9,2,2,0,3,1,1,87
2,3,0,0,2,3,1,1,40
2,5,2,0,0,3,1,1,79
5,7,1,0,4,4,1,1,40
3,7,3,0,0,3,1,1,71
5,8,1,1,3,2,1,1,98
6,11,1,3,2,4,1,1,70
6,12,1,4,1,4,1,1,86
5,10,1,3,1,4,1,1,88
4,6,1,0,3,2,1,1,92
3,7,2,1,0,2,1,1,71
5,8,0,2,3,2,1,1,93
4,7,1,1,2,2,1,1,76
2,4,1,0,1,2,1,1,97
2,3,0,0,2,2,1,1,40
5,9,1,2,2,3,1,1,72
4,8,1,2,1,3,1,1,84
3,6,1,1,1,2,1,1,85
2,5,2,0,0,3,1,1,88
2,5,0,2,0,3,1,1,78
5,11,1,4,0,2,1,1,84
5,9,2,1,2,2,1,1,78
4,6,1,0,3,2,1,1,100
4,8,1,2,1,4,1,1,93
4,7,1,1,2,4,1,1,40
2,5,0,2,0,3,1,1,72
3,6,1,1,1,4,1,1,40
5,10,2,2,1,3,1,1,78
5,9,2,1,2,2,1,1,86
3,5,0,1,2,3,1,1,40
6,11,2,2,2,2,1,1,99
2,4,1,0,1,2,1,1,84
5,10,3,1,1,2,1,1,96
3,7,1,2,0,2,1,1,81
6,11,2,2,2,2,1,1,82
3,6,2,0,1,4,1,1,40
3,5,1,0,2,2,1,1,99
5,9,1,2,2,4,1,1,99
2,5,0,2,0,4,1,1,40
3,5,0,1,2,2,1,1,94
6,11,2,2,2,2,1,1,76
2,3,0,0,2,3,1,1,40
5,10,1,3,1,4,1,1,93
6,12,2,3,1,3,1,1,100
2,4,0,1,1,2,1,1,84
4,8,1,2,1,2,1,1,90
2,5,1,1,0,2,1,1,80
5,10,2,2,1,3,1,1,84
3,6,1,1,1,3,1,1,100
